Date,Currency,Exchange
01/01/2024,USD,1.0
01/01/2024,CAD,1.32
01/01/2024,AUD,1.55
01/01/2024,EUR,0.92
01/01/2024,GBP,0.79
01/02/2024,USD,1.0
01/02/2024,CAD,1.32
01/02/2024,AUD,1.55
01/02/2024,EUR,0.92
01/02/2024,GBP,0.79
01/03/2024,USD,1.0
01/03/2024,CAD,1.32
01/03/2024,AUD,1.55
01/03/2024,EUR,0.92
01/03/2024,GBP,0.79
01/04/2024,USD,1.0
01/04/2024,CAD,1.32
01/04/2024,AUD,1.55
01/04/2024,EUR,0.92
01/04/2024,GBP,0.79
01/05/2024,USD,1.0
01/05/2024,CAD,1.32
01/05/2024,AUD,1.55
01/05/2024,EUR,0.92
01/05/2024,GBP,0.79
01/06/2024,USD,1.0
01/06/2024,CAD,1.32
01/06/2024,AUD,1.55
01/06/2024,EUR,0.92
01/06/2024,GBP,0.79
01/07/2024,USD,1.0
01/07/2024,CAD,1.32
01/07/2024,AUD,1.55
01/07/2024,EUR,0.92
01/07/2024,GBP,0.79
01/08/2024,USD,1.0
01/08/2024,CAD,1.32
01/08/2024,AUD,1.55
01/08/2024,EUR,0.92
01/08/2024,GBP,0.79
01/09/2024,USD,1.0
01/09/2024,CAD,1.32
01/09/2024,AUD,1.55
01/09/2024,EUR,0.92
01/09/2024,GBP,0.79
01/10/2024,USD,1.0
01/10/2024,CAD,1.32
01/10/2024,AUD,1.55
01/10/2024,EUR,0.92
01/10/2024,GBP,0.79
01/11/2024,USD,1.0
01/11/2024,CAD,1.32
01/11/2024,AUD,1.55
01/11/2024,EUR,0.92
01/11/2024,GBP,0.79
01/12/2024,USD,1.0
01/12/2024,CAD,1.32
01/12/2024,AUD,1.55
01/12/2024,EUR,0.92
01/12/2024,GBP,0.79
01/13/2024,USD,1.0
01/13/2024,CAD,1.32
01/13/2024,AUD,1.55
01/13/2024,EUR,0.92
01/13/2024,GBP,0.79
01/14/2024,USD,1.0
01/14/2024,CAD,1.32
01/14/2024,AUD,1.55
01/14/2024,EUR,0.92
01/14/2024,GBP,0.79
01/15/2024,USD,1.0
01/15/2024,CAD,1.32
01/15/2024,AUD,1.55
01/15/2024,EUR,0.92
01/15/2024,GBP,0.79
01/16/2024,USD,1.0
01/16/2024,CAD,1.32
01/16/2024,AUD,1.55
01/16/2024,EUR,0.92
01/16/2024,GBP,0.79
01/17/2024,USD,1.0
01/17/2024,CAD,1.32
01/17/2024,AUD,1.55
01/17/2024,EUR,0.92
01/17/2024,GBP,0.79
01/18/2024,USD,1.0
01/18/2024,CAD,1.32
01/18/2024,AUD,1.55
01/18/2024,EUR,0.92
01/18/2024,GBP,0.79
01/19/2024,USD,1.0
01/19/2024,CAD,1.32
01/19/2024,AUD,1.55
01/19/2024,EUR,0.92
01/19/2024,GBP,0.79
01/20/2024,USD,1.0
01/20/2024,CAD,1.32
01/20/2024,AUD,1.55
01/20/2024,EUR,0.92
01/20/2024,GBP,0.79
01/21/2024,USD,1.0
01/21/2024,CAD,1.32
01/21/2024,AUD,1.55
01/21/2024,EUR,0.92
01/21/2024,GBP,0.79
01/22/2024,USD,1.0
01/22/2024,CAD,1.32
01/22/2024,AUD,1.55
01/22/2024,EUR,0.92
01/22/2024,GBP,0.79
01/23/2024,USD,1.0
01/23/2024,CAD,1.32
01/23/2024,AUD,1.55
01/23/2024,EUR,0.92
01/23/2024,GBP,0.79
01/24/2024,USD,1.0
01/24/2024,CAD,1.32
01/24/2024,AUD,1.55
01/24/2024,EUR,0.92
01/24/2024,GBP,0.79
01/25/2024,USD,1.0
01/25/2024,CAD,1.32
01/25/2024,AUD,1.55
01/25/2024,EUR,0.92
01/25/2024,GBP,0.79
01/26/2024,USD,1.0
01/26/2024,CAD,1.32
01/26/2024,AUD,1.55
01/26/2024,EUR,0.92
01/26/2024,GBP,0.79
01/27/2024,USD,1.0
01/27/2024,CAD,1.32
01/27/2024,AUD,1.55
01/27/2024,EUR,0.92
01/27/2024,GBP,0.79
01/28/2024,USD,1.0
01/28/2024,CAD,1.32
01/28/2024,AUD,1.55
01/28/2024,EUR,0.92
01/28/2024,GBP,0.79
01/29/2024,USD,1.0
01/29/2024,CAD,1.32
01/29/2024,AUD,1.55
01/29/2024,EUR,0.92
01/29/2024,GBP,0.79
01/30/2024,USD,1.0
01/30/2024,CAD,1.32
01/30/2024,AUD,1.55
01/30/2024,EUR,0.92
01/30/2024,GBP,0.79
01/31/2024,USD,1.0
01/31/2024,CAD,1.32
01/31/2024,AUD,1.55
01/31/2024,EUR,0.92
01/31/2024,GBP,0.79
02/01/2024,USD,1.0
02/01/2024,CAD,1.32
02/01/2024,AUD,1.55
02/01/2024,EUR,0.92
02/01/2024,GBP,0.79
02/02/2024,USD,1.0
02/02/2024,CAD,1.32
02/02/2024,AUD,1.55
02/02/2024,EUR,0.92
02/02/2024,GBP,0.79
02/03/2024,USD,1.0
02/03/2024,CAD,1.32
02/03/2024,AUD,1.55
02/03/2024,EUR,0.92
02/03/2024,GBP,0.79
02/04/2024,USD,1.0
02/04/2024,CAD,1.32
02/04/2024,AUD,1.55
02/04/2024,EUR,0.92
02/04/2024,GBP,0.79
02/05/2024,USD,1.0
02/05/2024,CAD,1.32
02/05/2024,AUD,1.55
02/05/2024,EUR,0.92
02/05/2024,GBP,0.79
02/06/2024,USD,1.0
02/06/2024,CAD,1.32
02/06/2024,AUD,1.55
02/06/2024,EUR,0.92
02/06/2024,GBP,0.79
02/07/2024,USD,1.0
02/07/2024,CAD,1.32
02/07/2024,AUD,1.55
02/07/2024,EUR,0.92
02/07/2024,GBP,0.79
02/08/2024,USD,1.0
02/08/2024,CAD,1.32
02/08/2024,AUD,1.55
02/08/2024,EUR,0.92
02/08/2024,GBP,0.79
02/09/2024,USD,1.0
02/09/2024,CAD,1.32
02/09/2024,AUD,1.55
02/09/2024,EUR,0.92
02/09/2024,GBP,0.79
02/10/2024,USD,1.0
02/10/2024,CAD,1.32
02/10/2024,AUD,1.55
02/10/2024,EUR,0.92
02/10/2024,GBP,0.79
02/11/2024,USD,1.0
02/11/2024,CAD,1.32
02/11/2024,AUD,1.55
02/11/2024,EUR,0.92
02/11/2024,GBP,0.79
02/12/2024,USD,1.0
02/12/2024,CAD,1.32
02/12/2024,AUD,1.55
02/12/2024,EUR,0.92
02/12/2024,GBP,0.79
02/13/2024,USD,1.0
02/13/2024,CAD,1.32
02/13/2024,AUD,1.55
02/13/2024,EUR,0.92
02/13/2024,GBP,0.79
02/14/2024,USD,1.0
02/14/2024,CAD,1.32
02/14/2024,AUD,1.55
02/14/2024,EUR,0.92
02/14/2024,GBP,0.79
02/15/2024,USD,1.0
02/15/2024,CAD,1.32
02/15/2024,AUD,1.55
02/15/2024,EUR,0.92
02/15/2024,GBP,0.79
02/16/2024,USD,1.0
02/16/2024,CAD,1.32
02/16/2024,AUD,1.55
