CustomerKey,Total_Orders,Total_Quantity,Total_Spend_USD,First_Order_Date,Last_Order_Date,Avg_Order_Value,Customer_Tenure_Days,Recency_Days,Order_Frequency,Is_Active,Customer_Segment
301,1,2,592.0,2024-07-29,2024-07-29,592.0,534,534,0.05319148936170213,0,Inactive
325,10,27,5787.67,2024-02-08,2025-10-18,578.767,706,88,0.4076086956521739,1,Silver
554,4,14,951.71,2024-03-12,2025-05-12,237.9275,673,247,0.17069701280227595,0,Bronze
1042,3,6,1124.91,2024-01-17,2024-11-26,374.97,728,414,0.1187335092348285,0,Inactive
1314,5,13,2539.86,2024-05-18,2025-07-21,507.97200000000004,606,177,0.2358490566037736,0,Bronze
1568,9,24,4922.43,2024-04-11,2025-12-22,546.9366666666667,643,23,0.4011887072808321,1,Silver
1585,4,20,6700.62,2024-08-10,2025-10-23,1675.155,522,83,0.2173913043478261,1,Bronze
1626,4,15,2940.35,2024-09-02,2025-08-21,735.0875,499,146,0.22684310018903592,0,Bronze
1642,1,2,115.98,2025-01-05,2025-01-05,115.98,374,374,0.07425742574257425,0,Inactive
1863,8,14,2198.25,2024-01-20,2025-12-06,274.78125,725,39,0.3178807947019867,1,Silver
2238,3,6,579.94,2024-11-23,2025-12-17,193.31333333333336,417,28,0.20134228187919462,1,Bronze
2248,2,8,869.92,2024-01-25,2025-07-06,434.96,720,192,0.08,0,Bronze
2435,4,12,2474.9700000000003,2024-02-16,2025-07-09,618.7425000000001,698,189,0.16483516483516483,0,Bronze
2469,2,6,158.76,2024-02-01,2025-12-03,79.38,713,42,0.08075370121130553,1,Bronze
2512,5,19,3575.08,2024-01-25,2025-08-30,715.016,720,137,0.2,0,Bronze
2792,1,1,70.13,2025-02-01,2025-02-01,70.13,347,347,0.07957559681697612,0,New
3002,3,10,932.27,2024-04-28,2025-05-19,310.75666666666666,626,240,0.13719512195121952,0,Bronze
3203,8,25,6206.66,2024-04-24,2025-12-24,775.8325,630,21,0.36363636363636365,1,Silver
3327,3,8,2851.0,2024-05-19,2025-07-17,950.3333333333334,605,181,0.14173228346456693,0,Bronze
3575,1,3,774.0,2024-06-07,2024-06-07,774.0,586,586,0.0487012987012987,0,Inactive
3964,1,6,1506.0,2024-04-10,2024-04-10,1506.0,644,644,0.04451038575667656,0,Inactive
4174,5,14,4465.53,2024-03-23,2025-08-22,893.106,662,145,0.21676300578034682,0,Bronze
5097,1,2,43.14,2024-06-12,2024-06-12,43.14,581,581,0.049099836333878884,0,Inactive
5445,1,3,600.0,2024-04-22,2024-04-22,600.0,632,632,0.045317220543806644,0,Inactive
5962,8,18,5377.61,2024-01-17,2025-11-03,672.20125,728,72,0.316622691292876,1,Silver
6258,3,17,4394.0,2025-03-04,2025-11-11,1464.6666666666667,316,64,0.26011560693641617,1,Bronze
6308,3,8,1117.48,2025-01-26,2025-04-24,372.49333333333334,353,265,0.23498694516971277,0,Bronze
7109,2,8,494.95,2025-01-05,2025-08-25,247.475,374,142,0.1485148514851485,0,Bronze
7566,3,12,3142.0,2024-01-03,2025-05-14,1047.3333333333333,742,245,0.11658031088082901,0,Bronze
7700,1,3,182.97,2025-10-10,2025-10-10,182.97,96,96,0.23809523809523808,0,New
7783,1,5,1299.95,2024-05-23,2024-05-23,1299.95,601,601,0.04754358161648177,0,Inactive
8098,3,3,2094.0,2024-03-17,2025-02-07,698.0,668,341,0.12893982808022922,0,Bronze
8181,2,15,1991.94,2024-01-24,2025-09-11,995.97,721,125,0.07989347536617843,0,Bronze
8789,2,10,1499.5,2024-01-25,2024-04-04,749.75,720,650,0.08,0,Inactive
8945,3,10,1638.9,2024-08-11,2025-09-11,546.3000000000001,521,125,0.16333938294010888,0,Bronze
9167,1,3,227.96999999999997,2024-09-25,2024-09-25,227.96999999999997,476,476,0.05928853754940711,0,Inactive
9184,4,14,26039.44,2024-05-25,2025-12-27,6509.86,599,18,0.1907790143084261,1,Bronze
9456,8,16,7130.49,2024-01-18,2025-07-23,891.31125,727,175,0.31704095112285335,0,Silver
9812,6,11,4339.4,2024-01-09,2025-12-23,723.2333333333332,736,22,0.23498694516971277,1,Silver
9915,4,14,13569.0,2024-02-09,2025-02-22,3392.25,705,326,0.16326530612244897,0,Bronze
10039,1,3,899.97,2025-09-18,2025-09-18,899.97,118,118,0.2027027027027027,0,New
10299,2,4,419.96,2024-05-27,2025-05-13,209.98,597,246,0.09569377990430622,0,Bronze
10393,1,7,2310.0,2024-10-22,2024-10-22,2310.0,449,449,0.06263048016701461,0,Inactive
11035,1,1,268.0,2024-12-06,2024-12-06,268.0,404,404,0.06912442396313365,0,Inactive
12160,9,29,7465.78,2024-04-07,2025-10-10,829.531111111111,647,96,0.39881831610044316,0,Silver
12365,2,8,1719.97,2024-07-26,2025-07-03,859.985,537,195,0.10582010582010583,0,Bronze
12392,6,17,7988.669999999999,2024-03-01,2025-10-29,1331.445,684,77,0.25210084033613445,1,Silver
12649,1,9,62.910000000000004,2025-12-01,2025-12-01,62.910000000000004,44,44,0.4054054054054054,1,New
12729,6,23,6990.45,2024-03-13,2025-07-29,1165.075,672,169,0.25641025641025644,0,Silver
12859,2,3,545.68,2024-12-18,2025-01-20,272.84,392,359,0.14218009478672985,0,Bronze
13045,3,6,1785.72,2024-08-11,2025-08-10,595.24,521,157,0.16333938294010888,0,Bronze
13071,2,2,749.0,2024-06-20,2025-02-04,374.5,573,344,0.09950248756218905,0,Bronze
13365,1,1,109.0,2024-07-26,2024-07-26,109.0,537,537,0.052910052910052914,0,Inactive
14069,1,3,837.0,2024-11-15,2024-11-15,837.0,425,425,0.06593406593406594,0,Inactive
14180,2,5,864.78,2024-06-14,2025-03-28,432.39,579,292,0.09852216748768472,0,Bronze
14906,3,12,770.42,2024-07-17,2025-03-22,256.8066666666667,546,298,0.15625,0,Bronze
14962,6,19,15810.829999999998,2024-01-04,2025-11-02,2635.138333333333,741,73,0.23346303501945526,1,Silver
