ProductKey,Product Name,Brand,Color,Unit Cost USD,Unit Price USD,SubcategoryKey,Subcategory,CategoryKey,Category,Total_Units_Sold,Total_Orders,Total_Revenue_USD,Last_Sold_Date,Avg_Order_Quantity,Sales_Rank,Is_Top_Seller
1,Contoso 512MB MP3 Player E51 Silver,Contoso,Silver,$6.62 ,$12.99 ,101,MP4&MP3,1,Audio,65.0,23.0,844.35,2025-11-21,2.8260869565217392,2221,0
2,Contoso 512MB MP3 Player E51 Blue,Contoso,Blue,$6.62 ,$12.99 ,101,MP4&MP3,1,Audio,77.0,23.0,1000.23,2025-11-01,3.347826086956522,2181,0
3,Contoso 1G MP3 Player E100 White,Contoso,White,$7.40 ,$14.52 ,101,MP4&MP3,1,Audio,80.0,27.0,1161.6,2025-10-18,2.962962962962963,2149,0
4,Contoso 2G MP3 Player E200 Silver,Contoso,Silver,$11.00 ,$21.57 ,101,MP4&MP3,1,Audio,74.0,27.0,1596.18,2025-12-04,2.740740740740741,2058,0
5,Contoso 2G MP3 Player E200 Red,Contoso,Red,$11.00 ,$21.57 ,101,MP4&MP3,1,Audio,49.0,17.0,1056.93,2025-11-26,2.8823529411764706,2168,0
6,Contoso 2G MP3 Player E200 Black,Contoso,Black,$11.00 ,$21.57 ,101,MP4&MP3,1,Audio,58.0,21.0,1251.06,2025-12-29,2.761904761904762,2130,0
7,Contoso 2G MP3 Player E200 Blue,Contoso,Blue,$11.00 ,$21.57 ,101,MP4&MP3,1,Audio,101.0,27.0,2178.57,2025-11-30,3.740740740740741,1960,0
8,Contoso 4G MP3 Player E400 Silver,Contoso,Silver,$30.58 ,$59.99 ,101,MP4&MP3,1,Audio,55.0,23.0,3299.45,2025-12-17,2.391304347826087,1799,0
9,Contoso 4G MP3 Player E400 Black,Contoso,Black,$30.58 ,$59.99 ,101,MP4&MP3,1,Audio,59.0,20.0,3539.41,2025-12-12,2.95,1769,0
10,Contoso 4G MP3 Player E400 Green,Contoso,Green,$30.58 ,$59.99 ,101,MP4&MP3,1,Audio,108.0,35.0,6478.92,2025-12-06,3.085714285714286,1380,0
11,Contoso 4G MP3 Player E400 Orange,Contoso,Orange,$30.58 ,$59.99 ,101,MP4&MP3,1,Audio,67.0,27.0,4019.33,2025-12-27,2.4814814814814814,1690,0
12,Contoso 4GB Flash MP3 Player E401 Blue,Contoso,Blue,$35.72 ,$77.68 ,101,MP4&MP3,1,Audio,46.0,18.0,3573.28,2025-09-14,2.5555555555555554,1766,0
13,Contoso 4GB Flash MP3 Player E401 Black,Contoso,Black,$35.72 ,$77.68 ,101,MP4&MP3,1,Audio,71.0,21.0,5515.280000000001,2025-11-23,3.380952380952381,1498,0
